transcription,conversation_no
Well obviously it's not working.  Just cause you got sixteen hundred on your S.A.T. doesn't guarantee you a job.  I mean it should really but--,76
"I don't know.  I don't know.  I know I'm just going to have to keep on looking, keep on searching-",76
"and I'm never going to find anything probably but I'll just keep working hard at it-- Yeah. Okay.  Positive, I'm going to do good, find that job.",76
You got to be positive man.  You got to try to just--,76
But you got to be real about it.  You have to...,76
Yeah.  I got eighteen hundred on my S.A.T..,76
Sixteen hundred.,76
Same difference.,76
Twenty-one hundred on my S.A.T..,76
Twenty-one hundred?,76
But I'm doomed.  Yeah I got so good I was over twenty one hundred.  Now what am I doing?,76
"Like, wow you're really smart we're going to give you an extra [GARBAGE].",76
Can I help you sir?,77
Yes you can help me.  Where is my luggage?,77
"Well, let me just check on that for you.  Where are you coming--?",77
Yeah.  You do that.  I'm coming from Baltimore.  You know where that is?,77
"Sir, yes it's in Maryland.  It's okay...well, I'm...just let me check here.",77
I had eight hundred pounds of luggage.,77
Okay.  Sir?  Can you...if you just give me one moment and let me just check okay?,77
Okay.  Check.,77
"Alright.  And you're coming-- Wait, hold on sir.  You're coming from Baltimore into LAX right?",77
Is it there?,77
Yes.,77
Okay and this is direct flight?,77
You don't know where we're at?,77
God.,77
I'm asking you if this is direct flight from Baltimore to LAX or if you have to stop--,77
You know I've been waiting here for four hours for my luggage,77
"and it's not here, they told me to go to this person, go to this person.  Now I'm at this person.",77
You're at me and I'm going to try to help you out sir but you just have to cooperate with me--,77
Okay.  What do you want?,77
How many pieces of luggage do you have checked in?,77
Eight.  And they're all gone.,77
Eight pieces of luggage.  Okay.,77
And what are you going to do about it?  You going to call someone?  You going to send me somewhere else?,77
No.  I'm just going to check--,77
It's my mother's funeral tomorrow and the urn is in the suitcase.,77
I'm sorry sir.,77
Yeah.,77
I'm very sorry but let's check on this immediately.  This is definitely an emergency.  It seems--,77
What am I going to do tomorrow without the urn?,77
Sir it seems to me that your luggage is um- is not here,77
"Oh, oh, that's a good deduction.",77
Yes--it is,77
"Sherlock Holmes.  God, where's my luggage?",77
"Sir, Please please, I would ask you to just calm down for a second--",77
Calm down?  It's my mother's funeral tomorrow.  I'm the one responsible for this.,77
"Okay.  We will find your luggage.  Apparently because it somehow...what flight you were taking, you were on Delta?",77
Yes.  You are a Delta representative.,77
"Yes, I am.",77
What is the matter with you?,77
"Sir, I just...you need to calm down is what needs to happen right now.",77
Don't yell at me.,77
"Okay.  I'm not.  I'm sorry, I am being--",77
"calm.  Sir, okay basically what- what's going to happen here is you're going to give me your contact information and we will contact you--",77
Oh my God.  I think a blood vessel burst in my head.,77
"Please, please",77
"sir, listen to me.  Your luggage is still in Baltimore.",77
What?,77
Okay.  We can get it here in about seven to ten business days.,77
What?  Are you kidding me?,77
"Yes.  Well, because--",77
Give- Give me your manager right now.,77
I am the manager sir.,77
"You're the manager? You don't know where you work for, you don't know where you're at and you're the manager?",77
Sir I know where I work for but I was checking because you cannot--,77
Whose daughter are you?,77
Sir?,77
Sir. Sir. Sir. Sir,77
What is your name?,77
My name is Brent Caption.,77
Now what are you going to do about it?,77
Can I help you sir?,78
Yeah.,78
I've been here for four hours and I don't know where one piece of my luggage is,78
Okay.  Well let's...well I'm going to go ahead and check on that for you.  You're coming from...where are you coming from?,78
Baltimore.,78
Baltimore and this is a direct flight to LAX,78
Yes.,78
Okay.  Let's look up here,78
-okay-,78
You know and they've looked it up before and it's not there.,78
Okay.  Well you um-...,78
Now what are you going to do for me different? Hmm?,78
"What I can do for you is uh we can uh report lost, lost property.",78
You can report lost property?,78
Yes.,78
"Okay.  I'm leaving LA tomorrow for San Diego, driving there.  So, I'm going to leave without all my lost property?  That's what you want me to do? um",78
"Well sir, if if...what I believe has happened is most of the flight was left--",78
the luggage was left in Baltimore.  Therefore--,78
Most of the...,78
"Like the luggage, the luggage on the flight.",78
Wow.  This is an incompetent airline isn't it?  Are you--?,78
No actually it was...this is the first time this has ever happened.  I don't know what happened--,78
"Are you going to refund us for our luggage, refund us for our tickets for this?",78
We- I mean-,78
"Well, we can give you um- hotel lodging for a night if that--",78
I'm going to San Diego tomorrow to stay with my family.  What do I need hotel lodging for hmmm?  Can you tell me that?,78
For tonight- For tonight sir.  Would you need to stay somewhere tonight?,78
Tonight no.  I'm driving tomorrow.  Tonight I'm staying with a friend alright?  I don't need hotel reservations...where?  What hotel?,78
We can do Holiday Inn or...?,78
Wow.  Thank you.  Holiday Inn.  Wow.  Thank...the flight cost five hundred dollars.,78
Sir I understand that but just--,78
"Okay, so you can put me in Holiday Inn for twenty dollar a night?",78
Did you have your name tags on the luggage?,78
Of course I had my name tags on the luggage.,78
"Okay.  So if you can just give me your name, your name and your address and your phone number I can contact you as soon as we find out more information.",78
Soon as you...that's not good enough okay?,78
"Sir, please calm down.",78
I need you to help me out here.  Can you get on the phone and get the luggage over on the fastest flight you can and then maybe I won't get you fired.,78
"If not, I'm going to get your name, I'm going to talk to your boss, whoever...I'm never going to fly...my business is never going to fly Delta again.",78
Okay.,78
What is your business?,78
I work for IBM.,78
"Okay.  Sir?  I am sorry to tell you this but this does happen. Uh- This is not uh- really,",78
"I mean, our airline's fault.  I don't know what happened, misplaced, something happened but we will get you--",78
"You misplace a lot of, eight pieces of luggage.",78
"Well, the entire flight, sir, the luggage was placed on another plane that never actually left Baltimore.",78
Uh no I'm not.,78
Are you kidding me?,78
Who are you going to fire because of that?,78
"Well we have some people back there that need some firing so, but I would just really appreciate--",78
"Wow.  This has never happened before.  I've not lost,",78
in all thousand flights I've been on probably I can't even count how many flights I've been on.  This has never happened before.,78
This is the worst customer service I've ever gotten before.,78
Yeah.,78
Okay sir.  I'm sorry you can--um-,78
Okay.  Get on the phone and figure out where my luggage is and tell me when it's going to get there alright?,78
We already have been confirmed that it will be arriving in--uh--in about two days.,78
"And and, in about...",78
Two days I'll be in San Diego and how's it going to get to me in San Diego?  You going to make sure it gets to the San Diego airport?,78
"Uh, we can't--",78
Can you get it to the San Diego airport?  You get someone to drive it to my place alright? Then I get a refund for some...I get a free flight alright? I get free whatever.,78
"Yes sir, Yes.",78
We can have them direct your luggage to San Diego.,78
Okay.  And you're going to give me what for my inconvenience?,78
Uh--,78
Some refreshments in the lobby?,78
Some peanuts?  Wow.  That helps a lot.,78
"Thanks you, thank you I don't have my luggage so you gave me a Holiday Inn stay and peanuts.  Wow.  You know what?",78
eh- we actually--,78
I will never do business with Delta again.,78
How's it going?  How are you feeling?,79
I ah--,79
alright.,79
Hanging in there?,79
Yeah.,79
So sad.,79
It just feels like I was talking to him yesterday.,79
Yeah.,79
You guys were real close huh?,79
He was my only friend growing up.,79
no one else would talk to me but he would.,79
He was supposed to be the best man at my wedding.,79
I'm so sorry.,79
Yeah.,79
You know I was always the one to tell him to be more wild you know?,79
Yeah.,79
And he just took it overboard.,79
What happened?  What went wrong?,79
You know a stupid case of drunk driving it's just...,79
"and the worst part of it is that he was in the car with his girlfriend,",79
his girlfriend got killed too.,79
Oh man.,79
And the car that he hit was his family.,79
How are they?,79
The mother and father died--,79
and the kids are paralyzed in a coma right now.,79
and just going to the funeral it's-,79
"-do I miss him or do I hate him, you know?",79
Yeah.  Like I mean if you need anyone to talk to or anything I'm here for you okay?,79
Thanks.,79
We're all here for you.,79
I was supposed to see him last summer,79
then I got busy with work and stuff and three years go by,79
and then something like this happens you know?,79
I mean I haven't even talked to him on the phone for the past three months.,79
He's supposed to be my best friend.,79
I know.,79
just things happen in life and you just...there's just no explanation you know?  We just don't...,79
It's so fucked up.,79
Yeah.,79
I'm so sorry.,79
Why is that?,79
He was studying to be a doctor.,79
"I mean he was...he wanted to help people in poor countries, that is his goal.  He didn't care about the money.  He just wanted to go and help people.",79
What the...what am I doing?,79
Working for corporate America?  Wow.,79
He actually wanted to do something.,79
"Well now you can follow his footsteps, you know?  Carry out what he wanted to do.",79
I can't do that.,79
Well sure you could.,79
You should've met him.,79
He is the greatest...everyone liked him.,79
Yeah.,79
I would've loved to.,79
Now I can't.,79
Hey.,80
Hey.  How's it going?  I haven't seen you in awhile.,80
Pretty good Susanna.,80
What's going on Joe?,80
Guess who got into U.S.C.?,80
Um--,80
"Me. Yeah, I did.",80
No way. Are you serious? Oh my God.  Congratulations. I'm so excited.,80
Yeah.,80
I got into the...,80
I got into cinema production.,80
No.  You didn't get into production.  There's no way.,80
Yeah.,80
No.  It's like it's harder than getting into Harvard.,80
I know.  Oh my God.  Oh my God Joe I am so happy for you.  Well you know what that means?,80
What does that mean?,80
You're going to be here and I'm going to be in LA so we can be together now.  I mean we can be in the same city.,80
Holy shit...,80
We can party.  We can have fun.,80
This will be like high school but even better.,80
Yeah.  Hopefully it won't be like high school.,80
"Oh man I am so proud of you, that is...how did you get...I mean what did you do?  How did you find out or what...?",80
I-I came home and my mom was like Joe uh-,80
"I have some bad news.  I was like what?  She's like not really you got into U.S.C. and I was like, I was like oh my God.  I was about to tear my own hair out.",80
Oh man.,80
Yeah.  This is so crazy.  I mean I didn't get into any other school but I got into the school I wanted.,80
Did you say yes yet?  I mean have you sent in your answer?,80
Oh my God the first minute I got it I sent it back in.,80
All right.,80
So...,80
"This is so great, you know, because I gone fit on downtown so I'm going to be like right here.  I think I'm going to be living at City Lights downtown.",80
This is so exciting.  This is like a new chapter in our lives.,80
"Yeah, it really is.",80
"We're doing what we want to do, then four years later we're going to be working professionals, making money, sipping martinis every day.",80
God hopefully.,80
Man I'm just so happy for you.  I just--,80
Thank you,80
"Well, I'm happy for you but I'm happy for me cause that means you're going to stay.",80
And tonight my parents want to take me out to sushi and they said I could bring you.,80
Oh great. I would love to go.,80
Yeah.,80
Yeah and they said get whatever you want and...,80
Mmmm some miso soup.,80
Some miso soup.  You can get whatever.  You can get a vat full of miso soup.  God.,80
Ah man.,80
This is going to be so great.  I have so many great ideas.,80
Yeah. Did you...I mean do send in like how long after you send in your application did you hear?,80
to start off.,80
"It took them, oh man, it took them like, I mean what it's like April now and any letters that come in April are usually the rejection letters so I was just like...",80
You were like...,80
I was struck.,80
Oh my God.  I am so proud of you.,80
Hello.  This is Viacom Services.  How can I help you?,81
"Hello?  God finally somebody, look, this is ridiculous.  I've been waiting online for like a half an hour now.",81
"I'm sorry ma'am, what can I help you with?",81
"Look my, my phone isn't working.  I don't understand what's going on.  I am trying to call out.  I'm not receiving any calls",81
"and I need assistance with my...not only is my work phone, it's my home phone and look,",81
this is my business.  This is how I make money is through my phone.  It needs to be working.  Can you please help me?,81
Okay.  Can you give me the last four digits of your social security number so I can verify who I'm speaking with?,81
two two six six.,81
Okay.  And your name is?,81
Olivia.,81
Olivia. Um. Okay.  So how long has this problem been?,81
"This has been going on for the past two weeks.  I called every single day.  Nobody is helping me.  You guys tell me the same thing over and over, call again, call again, call again--",81
So what exactly is the problem?,81
"I don't, I don't know what the problem is.  That's what I want you guys to...why is my service not turned on?  And I paid my bills on time.  I don't understand.",81
Um- I think part of it has to do with the network being down.  It's been having some trouble the last few weeks--,81
"Okay.  Well that is, that is fine and all.  I don't care.  I really don't care because I want my phone to work that's all.",81
"That is I am paying you guys for service and I'm not getting any service.  I get, I get just dropped calls all the time and now it's completely not working at all.  I can't even call out, nine one one probably wouldn't even work.",81
I understand--we're not-,81
No.  Okay.  We're not charging you for any of these months.  We're going to give you three months free.,81
Well you better.  You better give me a whole freaking new phone that's what you better do.,81
We can give you a new phone--,81
I want a camera phone actually.,81
We can do that.  We can do that.  You just have to sign a one-year contract though with the--,81
"No, no, no...  I'm done with these contract business because this is what can happen.",81
"You sign the contract and then down the line the phone doesn't work and you're stuck, you can't go to a new...no.  No contracts for me.  You give me a new phone.",81
"Besides, it's sort of out of hands at the moment----The whole electrical power outage.",81
I want to talk to a supervisor,81
I would like to talk to your supervisor.  Obviously you're incompetent and don't understand what I'm asking.,81
"Um- Let me connect you to my supervisor.  Actually, he's out right now so I'm supervisor until he comes back. Um-",81
What?,81
"So you could----speak with me some more, you could call back later on maybe.",81
That's ridiculous.  You know?,81
"No I don't want to call back, you put me on hold for like hours and hours----and it's money, money, money, money and out of my pocket, out of my pocket--",81
I didn't put you on hold.,81
There are a lot of people calling us having problems.  Every phone company is having the same problems ma'am,81
Every phone...every single phone company?,81
"Mmm hmmm.  Mmm hmmm.  The power outages, everything, hurricane Katrina. Everything's really messed up.",81
This is ridiculous.Well what are we supposed to do?  We starve then because I can't use my phone cause,81
"I am a realtor and this is my business.  People are calling me all the time but you know, and I don't have a land line.  I can't afford to have a land line",81
don't you-,81
I'm really sorry ma'am.  There's not----a lot we can do for it.,81
That you better be sorry.,81
Well you're not helping me at all.  God this is so frustrating.,81
"What I can do for you, if you want to make a call right now I could contact you through our computer.  I can call through my phone and you can speak through me.",81
What?  No.  That's way too complicated.  Look--,81
you need to fix my phone.  I don't care what you have to do--,81
I'm sorry it has to do with an electrical power outage and stuff--,81
"Well then go up the freaking pole and fix it like, you need to help me.  You don't understand I'm in dire, dire need of a phone right now.",81
"Well, okay I'm going to give you a free phone card that you can use at any payphone and that's on us. Okay?",81
"Yeah yeah, woman going out in South Central on the payphone at night.  Oh that's real safe.",81
"I'm, I'm sorry you chose to live there um--",81
"No, no, no.  I didn't choose to live here.  I work there.  Okay?  Yeah. work work work",81
okay.,81
Well I'm sure maybe there's a phone at work you could use.,81
"We can't call out.  We can't make out-- line.  I don't work, I work at another office.",81
A law firm.  Thank you very much.,81
All right um--,81
"I work out of my home as a realtor and because I don't have a land line, I need a phone and because of now I don't have one I don't know what to do.  And you're not helping me at all.",81
"In fact, give me your name sir, what's your name again?",81
My name is Sara.,81
Okay.  Sara what?,81
Sara Brown.,81
"Sara Brown.  Sara Brown, um- yeah, I'm going to get off the phone with you. And then I'm going to call back and I'm going to give your supervisor your name because you're obviously incompetent to work here.",81
Okay.,81
"You know maam, we record this conversation so anything you say can be proven in a law of court so keep that in mind.",81
"What are you, what are you a police officer now?  You know, like I'm done, I'm over it.  Goodbye and I hope that you lose your job.",81
Hello.,82
Hello?,82
Oh God I finally got...you know how long I've been waiting on line?  You put on hold for like five hours.  Geez.,82
I'm sorry ma'am.  What's the nature of your problem?  But first can I get you to tell me your first and last name?,82
I've already been through this five times with these people.  I've been calling every single day.,82
I know I just need to verify every time.  I'm sorry.,82
Olivia Brown.,82
Alright Ms. Brown what's the nature of your problem?,82
Well my phone isn't working and it hasn't been working for the last five days.,82
Oh.  I'm sorry. Um- Did you drop it in water?,82
"Yeah, yeah, yeah you better be sorry.",82
No I did not drop my phone in water.  I'm not five years old and just dropped my phone anywhere I see it.  Okay this is my business.,82
Okay?  And it [GARBAGE]. My business is failing because my phone isn't working and I don't have a land line and I really can't handle this right now.,82
Okay.,82
"Um- well it's probably easy.  Can you any more symptoms either you're not receiving calls----ok, you're not receiving calls, not getting calls.",82
"the symptoms- This [GARBAGE] a doctor's office. I'm not receiving calls...I can't receive- no, it's, it cuts me off--",82
Is the phone turned on?,82
Yes the phone turns on.  No I mean I'm using it not turning on the phone.  Of course it turns on.,82
"Well, um- okay.  Your sim card is in- didn't fall out-",82
No- I don't have a sim card because it's Verizon and you guys don't use sim cards.,82
Alright.  Um- Well that could be the problem. cause--,82
you might have an older phone where we would use sim cards but probably not.,82
"Okay no.  Sir, this is the deal.  My phone isn't working and I don't care what the problem is but it needs to work.  That's why I'm paying you guys to fix it.",82
Okay.  How about this we'll send you a brand new camera phone with palm pilot-- and-,82
I don't know even how to use that stuff it's too complicated.  I just want my flip phone to work----that's all I need,82
"So we'll send it- And we'll give you, how about a free year's service?",82
"Look, I am on the road all the time.  Do you understand how important?  I'm a woman, a single mother by herself working...what?",82
Tell them my name.  My name is Brent Backersen.,82
"Brent Backersen, I am writing this down, Brent Backersen.  Alright.",82
Okay.  Tell them my - my ID number is two one three five.,82
"Tell them that.  You can go in, get a brand new phone, they'll hook you up with service even give you a free three months--",82
"I, I, I don't want a contract. Okay. I don't want any contracts.",82
It will be free.  No contract okay?,82
Really?  No contract?,82
"Go in there, yeah, go in there.  Tell them Brent Backersen sent you.",82
I want the best freaking camera phone there is though.  I want the really good kind--,82
iss,82
"the top of the line camera phone, game boy, anything you want. For free. And palm pilot.",82
And palm pilot.,82
And charger and accessories and I want a cover that's pink.,82
They might only have orange.,82
no,82
"Okay.  They can figure out pink for you.  So go in there and just tell them that and they'll hook you up with other goodies, stuff like that free service, no contract, no nothing.  Just for being a good customer",82
and battling through with us.,82
"Alright. Well-  I guess - I guess that's okay but,",82
you better promise me.,82
Yes.  You just tell them Brent Backersen sent you.,82
Okay.,82
Alright?  Great.  Have a nice evening.,82
Alright Thanks.,82
What's he going to say?  Maybe we ought to talk to him before he sees it.,83
He saw it.,83
"What do you mean. He couldn't have seen it. I was the first one up, he was still in bed.",83
He was out there when it happened.,83
When?,83
About four in the morning.  I heard a crack and I looked out and he was standing right there when it happened.,83
What was he doing--?,83
Well what was he doing out at four in the morning?,83
I don't know. But after it cracked he ran back into the house and he cried in the kitchen.,83
Did you talk to him?,83
No.  I figured the best thing to do was leave him alone.,83
He cried hard?,83
I could hear it right through the floor.,83
"God, what was he doing out there anyway?",83
Starting to dream about him again.  He's walking around at night again.,83
I guess he is.,83
"He's getting just like he did after he died, you know?  What, what, what's the meaning of this?",83
"I don't know.  But I know one thing mom, we made a terrible mistake with dad.",83
What?,83
Being dishonest with him.  That kind of thing always pays off and now it's paying off.,83
What do you mean dishonest?,83
You know that Larry's not coming back and I know that too.  Why we both go on letting him think that we both believe with him.,83
What are you going to do?  You want to argue with him?,83
"No I don't want to argue with him but, it's time that he realizes that nobody believes Larry's coming back anymore.",83
"Why shouldn't he walk around and dream at him at night.  Walk around.  Why shouldn't he walk around?  Why shouldn't he dream of him, walk around at night waiting for him?  Do we contradict him?  Do we say flat out that we don't have anymore hope?",83
That we haven't had any hope for years now?,83
You can't say that to him.,83
We got to say it to him.,83
How are you going to prove it?  Can you prove it?,83
Larry's been gone for three years.  For god sakes no one comes back after three years.  It's insane.,83
"To you maybe, to me, but not to your father.  I mean,",83
he still thinks he's alive still.  I mean you could talk yourself blue in the face and there's no body and there's no grave so where are you?,83
"Listen mom, just, sit down.  I want to talk to you.",83
No.  It's his god damned newspapers is what it is.  Now every month there's a new boy comes home and Larry's going to be the next one.,83
Alright. Alright. Alright just listen.,83
"You know why I asked Annie here, right?",83
Why?,83
You know.,83
Well I have an idea but I don't know.  What's the story?,83
I want to ask her to marry me.,83
Well that's your business Chris.,83
You know it's not just my business.,83
"Well what do you want me to do?  I mean, you're old enough to know your own mind.",83
Okay.  So then it's alright.  I'll go ahead with it.,83
"Well, I mean, you got to make sure your dad's not going--",83
Oh see then it's just not my business. God you infuriate me sometimes.  Isn't my business too if dad throws a fit?  Huh?  God you have such a talent for ignoring things.,83
Well I'm just saying--,83
You know I ignore what I got to ignore.,83
She's not...she's Larry's girl.,83
She's not Larry's girl.,83
From your father's point of view he is still alive and if you try and take her that's just not fair.  You can't do that.,83
I don't know why it is but every time I reach out for something I want I have to pull back,83
"And-And-And if you go on from there if you know already to go on from there, then you can.  But I'm telling you something that I don't know where to go.  You got it?  I mean, do you?",83
Because other people will suffer.,83
"My whole entire, bloody life time and time again.",83
You're a considerate fellow.  There is nothing wrong in that.,83
Well to hell with that.,83
Did you ask Annie yet?,83
I wanted to get this settled first.,83
And what if she doesn't marry you huh?  What if she feels the same way your father does?,83
Then I guess that's the end of it.,83
But from her letters I think she's forgotten him.  I'll find out.,83
"And then we'll thrash it out with dad right?  Mom, don't avoid me.",83
"Look, you never had seen many, many women.  You know?  I mean...",83
Well so what?  I'm just not fast with women.,83
Well I just don't see why it has to be Annie.,83
Because it is.,83
"Well that's a good answer but, it doesn't answer anything.  You haven't seen her since you left to go to the war and it's been five years.",83
It's just...that's just the way it is.  That's how I feel.  You know these years when I think of someone I want to marry I think of Annie.  What do you want a diagram?,83
No I don't want a diagram.,83
"He thinks he's coming back. And you go off and marry that girl and you're just pronouncing him dead and what's going to happen to him?  I don't know.  Do you?  I mean, I don't know.",83
 No.,83
Alright then.,83
"Look, just give it some thought okay?",83
I've given it three years of thought and I thought that if I waited then dad would forget about Larry and then we could have a regular wedding and everything happy.,83
But if I can't have that here I'll get out.,83
What the hell is this?,83
I'll get out.  I'll marry her somewhere else.  Maybe New York.,83
Are you crazy?,83
I've been a good son too long.  A good sucker and I'm through with it.,83
You're just going to leave the business?  You have a business here.  You can't do that.,83
The business doesn't inspire me.,83
"Oh, you have to be inspired.",83
Yes.  I like it an hour out of the day.  If I have to grub for money all day long at least at evening I want it beautiful.  I want a family.  I want a wife.  I want some kids.  I want to build something I can give myself to.,83
Now Annie is in the middle of all that.  Where do I find it?,83
Tell me something.  You can leave this business?,83
Yes.  On this I would.,83
You can't talk like that.,83
Then help me stay here.,83
Alright but you can't talk like that you hear?,83
"I mean what the hell have we worked for then?  I mean, it's all for you Chris.  The whole shooting match is for you.",83
I know.  Just you help me stay here.,83
Alright but you don't talk like that you hear?  You don't.,83
I am thinking like that.,83
I don't understand you do I?,83
No you don't.  I'm a pretty tough guy.,83
Yeah.  I can see that.,83
Why did he invite her here?,84
Why does that bother you?,84
Well she's been away for three and a half years in New York and suddenly she just shows up.,84
"Well maybe, maybe he just wanted to see her.",84
Nobody travels seven hundred miles just see.,84
uh-uh What do you mean?  They grew up next to each other their entire lives.  Why shouldn't he want to see her?,84
Hey don't look at me like that.  I don't know anymore than you.,84
He's not going to marry her.,84
Who said he even thought about that?,84
I see it.  It has the appearance of it.,84
"Well, so what?",84
What's going on here Joe?,84
Now listen kid...,84
No.  She's not his girl Joe and she knows that.,84
You can't read her mind.,84
"Then why is still single?  I mean there's plenty of single men in New York.  Why isn't she married by now?  Probably a hundred men has told her that she's foolish but, she's waiting.",84
How do you know why she's waited?  Hmmm?,84
"Because she knows what I know, that's why.",84
"I mean, her faith is stronger than a rock.",84
"My worst times I think about her, you know, and I",84
it's like I know as long as she's waiting I'm right again.,84
Look at how nice the day is.  What are we arguing for?,84
"No.  Nobody in my house better dare and challenge her faith.  You know and maybe strangers but not his father, not his brother.",84
What do you want me to do?  What do you want?,84
I want-I want you to act like he's still alive.  I mean don't think I haven't seen the way that you've been since he invited her here.,84
But Kate...,84
But I won't have any of this nonsense because you know what happens?  If he doesn't come back I'll kill myself.,84
"Laugh, laugh at me but I will.  Because you know what happened when she came here?  When she came back she slept in his room, the memorial broke into pieces. Joe, look. Look at it. You got to believe with me.",84
Okay. Calm yourself. Just calm yourself.,84
I can't do it all alone.,84
"Calm yourself, alright?",84
"Look, it was just last week that Detroit, some boy came back he had been away longer than Larry, you can read it for yourself. You above all people have got to believe.",84
"Alright, alright, calm yourself okay?  Calm yourself. Wait, wait.  What do you mean, me above all?",84
"Look, just keep believing okay?",84
"Wait, what does that mean?  Me above all?",84
"Look at you, you're shaking.",84
I can't help it.,84
What do I got to hide?  Huh?  What the hell's the matter with you Kate?,84
You're the only one I know that still loves his parents.,85
I know.  It sort of went out of style didn't it?,85
"No.  It's alright.  It's a good thing, you know?",85
It's lovely here.,85
The air is so sweet.,85
You're not sorry you came?,85
No.  I'm not sorry.  But I'm not going to stay.,85
Why?,85
First of all your mother so much as told me to go.,85
Well...,85
"Look,",85
"you saw the way that she acted and then well, I mean, you, you were acting kind of...",85
What?,85
"Well, I don't know, embarrassed of her since I came.",85
Well the trouble is I was planning on sneaking up on you over a week or so and they take it for granted that we're all set.,85
"Yeah.  I know they would, especially your mother.",85
How did you know?,85
"Well what other reason, from her point of view, would I be coming here?",85
"So, would you want to?",85
"I mean, that's the reason why I asked you here.",85
"Well,",85
Oh Annie.  I love you.  I love you a great deal.,85
I love you.,85
I guess that's why I came.,85
I don't...I have no imagination that's the only way I know how to tell it.,85
I'm embarrassing you.  I didn't want to tell you this here.  I wanted to drive someplace brand new where we'd be brand new to each other.  It feels wrong here don't you?,85
"This yard and this chair.  I don't want to win you from anything, I want you to be ready for me.",85
"Look, I've been ready for a long, long time now.",85
"Then he's gone forever, you sure?",85
"Look, I almost got married two years ago.",85
Why didn't you?,85
You started to write me.,85
You felt something that far back.,85
Every day since.,85
Why didn't you let me know?,85
"I was waiting for you Chris, I mean, till then you never wrote and then when you did what did you say?",85
You'd always be so ambiguous.,85
"Give me a kiss Ann, just give me...",85
"Oh God.  Annie, I kissed Annie.  I kissed Annie.",85
I'll never forgive you for that.,85
"How long, how long I've been waiting to do that.",85
"I mean,  Why did you wait all these years?  There I was sitting around and wondering if I was crazy for thinking about you.",85
We're going to live now.  I'm going to make you so happy.,85
Not like that you're not.,85
I kissed you.,85
Like Larry's brother.  Do it like you Chris.,85
"Nothing.  Hey, let's drive somewhere.  I want to be alone with you.",85
What is it?,85
"No, what is it?  Your mother?",85
"No, nothing, nothing like that.",85
"Tell me what's wrong.  I mean, even in your letters you seemed ashamed.",85
"Well, yes I guess I've been ashamed but, it's going from me.",85
You got to tell me.,85
I don't know where to start.,85
Okay.  It wouldn't work like this?,85
You remember overseas I was in command of a company?,85
"Yeah, sure.",85
Well I lost them.,85
How many?,85
Just about all.,85
Geez.,85
Takes a little while to toss that off cause they weren't just men.,85
"For instance, one time this...it had been raining several days and this one kid, he came up to me, he gave me his last pair of dry socks, put them in my pocket.",85
"That's just a little thing but that's the kind of guys I had.  They didn't just die, they killed themselves for each other and I mean that exactly.",85
A little more selfish and they'd still be here today.  And I got this idea watching them go down.  See everything was being destroyed but there was one new thing that was being created.,85
"It was a kind of responsibility, man for man.  You understand me?",85
And to show that and to bring that onto the earth again like some sort of monument standing right behind all of us and we could feel it and it would make a difference to him.,85
And then I came here and it was incredible.  There was no meaning in it here.  The whole thing to them was a kind of bus accident.,85
"And I went to work with dad and that rat race again and I felt what you said, ashamed.  Somehow because nobody was changed at all.",85
"It seemed to make a sucker out of a lot of guys.  I felt wrong to be alive.  I felt wrong to have that new checkbook,",85
"open that new bank account, drive the new car and see the new refrigerator",85
"cause you can take those things out of the war.  But you got to know, when you drive that car that it came out of the love that a man can have for a man and you got to be a little bit better because of that.",85
Otherwise what you have is loot and there's blood on it.,85
And I didn't want to take any of it and I guess that included you.,85
And you still feel that way?,85
I want you now Annie.,85
Cause you must not feel that way again.  You hear me?  You can't.  You deserve everything you have Chris.,85
"that includes me too, I mean and the money, you have right to that money.  Your father put planes up in the air, good planes and he deserves it, you should be proud of that.  A man should be paid for that.",85
[GARBAGE] Annie,85
Annie I'm going to make a fortune for you.,85
What am I going to do with a fortune?,85
Buy some hats?,85
"Hey, what time is it?  This pokes around midnight right?  God this is great isn't it?",86
Look at the night we got.  I wouldn't trade this for anything.,86
You know actually I wanted to go a little further up the coast and get away from all the lights and people but I was afraid you'd miss it.  How are you doing?,86
Fine.,86
"Is that, is that, nah, is that just Paul?  I can't even tell.",86
"But if I can't tell, it probably isn't them isn't it?  Probably would be unmistakable wouldn't you think?  How are you doing?",86
"Oh, you know what I forgot?  I forgot my flashlight.  How could I be so stupid?  I should've brought my flashlight.",86
What flashlight?,86
"You know, the flashlight, the silver one?  There's only one isn't there?",86
It's not your flashlight.,86
"Well, whose is it?",86
It's ours.  Mine too.,86
"Well, sure.",86
"Well, you keep saying it's my flashlight like it's only your flashlight.  I mean, how do you think that makes me feel?",86
"No.  Of course, our flashlight.  Yours and mine.  Me flashlight is su flashlight, naturally.",86
How could we have not thought to bring it?  I hope the moon stays out.,86
Was it a full moon last year when they were running?  I can't remember.  Do you remember?,86
Yes.,86
Are you cold?  Do you want my jacket?,86
"We should've brought the blanket, our blanket.",86
"God.  Oh, you know what would be good right about now?  A six-pack.  A six-pack would be just the ticket.",86
"I'm so stupid, I should've brought a six-pack.  God, I'm like a little kid.  It's amazing I get out of the house with my fly zipped up. Oh- [LAUGHTER]",86
I wonder if they can hear us talk?  Or feel the vibrations in the sand when we move around?,86
"Look, I'm cold.",86
Do you want my jacket?,86
